AUDI A5;Sportback 40 TFSI Sport S tronic 140kW;2019;Barcelona;22.935 km;03/2019;24 meses;Negro;C;35.900 €;50.552 €;4.733 mm;1.843 mm;1.386 mm;2.824;480/0;2.105;Berlina;5;5 ;Gasolina;1.984;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;140;190;320;240;7,50;7,70;5,00;5,90;135;58,00;Vendedor profesional;05/10/2020
AUDI A4;Avant 2.0TDI Design ed. S-T 110kW;2016;Barcelona;84.100 km;06/2016;24 meses;Azul;C;22.300 €;45.260 €;4.725 mm;1.842 mm;1.431 mm;2.820;505/1.510;2.095;Stationwagon;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;110;150;320;215;9,20;5,50;2,90;4,10;112;40,00;Vendedor profesional;26/10/2020
AUDI A3;Sportback 1.0 TFSI Sport Edition S-T 85kW;2018;Alicante;7.344 km;04/2018;24 meses;Gris;C;23.300 €;30.868 €;4.313 mm;1.785 mm;1.426 mm;2.637;380/1.220;1.760;Berlina;5;5 ;Gasolina;999;3;Turbo;Tracción delantera;Automática secuencial;7;85;115;200;206;9,90;5,60;4,20;4,70;107;50,00;Vendedor profesional;21/10/2020
AUDI Q3;2.0TDI Sport edition 110kW(4.75);2015;Madrid;86.600 km;07/2015;12 meses;Blanco;C;20.400 €;36.724 €;4.388 mm;1.831 mm;1.590 mm;2.603;460/1.365;2.085;Todo Terreno;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Manual;6;110;150;340;204;9,60;5,30;4,10;4,80;126;64,00;Vendedor profesional;06/11/2020
AUDI A4;Avant 2.0TDI Sport edition 110kW;2016;Barcelona;117.345 km;06/2016;12 meses;Rojo;C;21.900 €;41.365 €;4.725 mm;1.842 mm;1.431 mm;2.820;505/1.510;2.095;Stationwagon;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Manual;6;110;150;320;215;9,20;4,80;3,60;4,00;111;40,00;Vendedor profesional;05/10/2020
AUDI A4;Avant 2.0TDI Sport edition 110kW;2016;Barcelona;84.511 km;03/2016;24 meses;Blanco;C;20.700 €;41.365 €;4.725 mm;1.842 mm;1.431 mm;2.820;505/1.510;2.095;Stationwagon;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Manual;6;110;150;320;215;9,20;4,80;3,60;4,00;111;40,00;Vendedor profesional;07/11/2020
AUDI A1;Sportback 30 TFSI Black line;2019;Córdoba;21.791 km;02/2019;No;Verde;C;19.600 €;26.633 €;4.030 mm;1.740 mm;1.410 mm;2.469;335/920;1.655;Berlina;5;5 ;Gasolina;999;3;Turbo;Tracción delantera;Manual;6;85;116;200;203;9,50;5,90;4,10;4,90;111;40,00;Vendedor profesional;06/11/2020
AUDI A1;Sportback 30 TFSI S line S tronic;2020;Barcelona;10.950 km;01/2020;24 meses;Blanco;C;23.700 €;27.246 €;4.030 mm;1.740 mm;1.410 mm;2.469;335/920;1.680;Berlina;5;5 ;Gasolina;999;3;Turbo;Tracción delantera;Automática secuencial;7;85;116;200;203;9,40;5,90;4,20;4,80;112;40,00;Vendedor profesional;26/10/2020
AUDI Q2;1.6TDI Design edition 85kW;2017;Barcelona;28.471 km;06/2017;24 meses;Blanco Ibis;C;22.400 €;29.720 €;4.191 mm;1.794 mm;1.508 mm;2.601;405/1.050;1.870;Todo Terreno;5;5 ;Diesel;1.598;4;Turbo;Tracción delantera;Manual;6;85;116;250;197;10,30;5,00;4,30;4,60;118;50,00;Vendedor profesional;06/11/2020
AUDI R8;5.2 FSI V10 plus quattro S Tronic;2016;Pontevedra;15.000 km;01/2016;12 meses;Blanco;C;120.000 €;223.560 €;4.426 mm;1.940 mm;1.240 mm;2.650;112/126;1.895;Coupe;2;2 ;Gasolina;5.204;10;no link (0012);Tracción total permanente;Automática secuencial;7;449;610;560;330;3,20;17,50;9,30;12,30;287;83,00;Vendedor profesional;06/11/2020
